customer_id,age,location,subscription_type,payment_plan,num_subscription_pauses,payment_method,customer_service_inquiries,signup_date,weekly_hours,average_session_length,song_skip_rate,weekly_songs_played,weekly_unique_songs,num_favorite_artists,num_platform_friends,num_playlists_created,num_shared_playlists,notifications_clicked,churned
1,32.0,Montana,Free,Yearly,2,Paypal,Medium,-1606,22.39136158,105.3945165,0.176872873,169,109,18,32,52,35,46,0
2,64.0,New Jersey,Free,Monthly,3,Paypal,Low,-2897,29.29421018,52.50111522,0.981810863,55,163,44,33,12,25,37,1
3,51.0,Washington,Premium,Yearly,2,Credit Card,High,-348,15.40031229,24.70369611,0.048411039,244,117,20,129,50,28,38,0
4,63.0,California,Family,Yearly,4,Apple Pay,Medium,-2894,22.84208399,83.59547961,0.035691238,442,252,47,120,55,17,24,0
5,54.0,Washington,Family,Monthly,3,Paypal,High,-92,23.15116308,52.57826642,0.039737896,243,230,41,66,40,32,47,0
6,69.0,Georgia,Premium,Yearly,0,Apple Pay,High,-585,5.055849894,79.44384607,0.536203055,418,95,35,77,91,8,28,1
7,62.0,Wisconsin,Student,Monthly,3,Apple Pay,High,-1506,,108.6821024,0.6380275,35,104,45,168,60,10,23,1
8,46.0,Idaho,Family,Yearly,4,Credit Card,High,-703,31.15201606,56.51379413,0.888250493,60,135,22,180,16,17,29,1
9,55.0,New York,Free,Monthly,0,Credit Card,Medium,-2311,43.30489412,68.97164788,0.940623113,154,206,6,102,11,32,4,1
10,19.0,Alabama,Premium,Yearly,4,Apple Pay,Medium,-1635,,57.12285585,0.521421975,41,9,43,96,62,46,14,1
11,46.0,South Carolina,Free,Yearly,1,Credit Card,Medium,-805,12.46133942,25.47487237,0.099546467,403,5,25,22,79,22,22,1
12,32.0,North Carolina,Student,Yearly,1,Paypal,High,-708,15.40447635,69.47408237,0.027709448,161,260,24,121,48,1,17,1
13,31.0,California,Family,Monthly,2,Paypal,Medium,-962,,89.67633801,0.860609693,66,286,44,33,78,45,18,1
14,48.0,New York,Premium,Monthly,0,Debit Card,High,-1206,18.37070599,14.842809,0.923460018,478,234,31,134,69,15,26,0
15,,South Carolina,Student,Yearly,0,Debit Card,Medium,-2458,32.83453678,39.87380376,0.405663674,126,186,17,180,4,47,47,1
16,43.0,Washington,Student,Monthly,0,Debit Card,Low,-1511,42.88523782,103.3702058,0.232649935,420,238,4,115,7,48,8,0
17,,Idaho,Student,Yearly,4,Credit Card,Low,-158,45.72589175,95.12216977,0.090790589,492,163,3,101,42,17,11,0
18,60.0,Idaho,Premium,Monthly,0,Paypal,High,-2689,16.53526668,97.44419995,0.489890024,70,127,47,115,32,37,39,0
19,35.0,North Carolina,Student,Yearly,3,Credit Card,High,-1006,45.18948254,25.83324811,0.920634134,301,179,15,196,13,34,7,1
20,31.0,Georgia,Free,Monthly,0,Debit Card,Low,-807,25.63385013,64.00186053,0.691255941,124,60,40,193,28,2,25,0
21,26.0,New York,Student,Monthly,1,Debit Card,Low,-618,8.583017083,48.52906046,0.068211908,90,106,45,25,44,4,46,0
22,67.0,Montana,Student,Yearly,0,Paypal,High,-873,35.19751806,48.3262933,0.79475361,182,22,19,59,48,0,48,1
23,,South Carolina,Family,Monthly,4,Apple Pay,Medium,-1233,4.765263318,64.77048136,0.665615591,68,35,28,144,12,45,0,1
24,56.0,Utah,Family,Yearly,1,Credit Card,Medium,-1503,23.0337478,40.32543749,0.96570125,469,255,41,61,28,16,29,0
25,30.0,Washington,Student,Yearly,3,Paypal,Low,-1111,2.859379462,20.66249152,0.096371281,55,14,2,163,44,47,47,1
26,,Idaho,Student,Monthly,3,Debit Card,Medium,-1497,44.12638621,13.67600368,0.360498599,299,197,45,167,32,20,25,1
27,32.0,New Jersey,Premium,Yearly,0,Paypal,Medium,-216,,41.58433867,0.183360048,349,109,46,102,40,33,17,0
28,74.0,New Jersey,Student,Monthly,1,Paypal,Medium,-52,18.49975206,79.54390004,0.872772715,188,78,16,53,57,35,24,1
29,35.0,West Virginia,Family,Yearly,3,Debit Card,Low,-1744,4.789999483,29.10411857,0.36838386,228,91,44,82,20,15,44,1
30,54.0,Maine,Family,Monthly,3,Credit Card,High,-1569,9.962383871,31.16977917,0.882758557,350,167,13,111,29,15,33,1
31,74.0,Maine,Student,Monthly,1,Credit Card,High,-479,,87.53159574,0.093273438,49,45,23,111,99,15,28,1
32,44.0,Utah,Free,Yearly,2,Apple Pay,High,-1291,28.01187753,81.75807743,0.814613137,421,52,29,0,46,10,27,1
33,76.0,Nebrasksa,Free,Monthly,0,Apple Pay,High,-2818,35.26253149,5.258070525,0.628706037,148,14,40,29,39,22,29,1
34,26.0,Wisconsin,Premium,Yearly,2,Apple Pay,Medium,-420,0.400751866,94.63108322,0.088737039,169,27,47,153,55,17,9,1
35,20.0,Montana,Free,Monthly,2,Debit Card,High,-2393,30.49981719,53.51740801,0.546471578,176,196,28,124,88,42,23,1
36,66.0,North Carolina,Premium,Monthly,2,Paypal,Low,-894,43.442295,81.61768079,0.014962349,69,174,41,90,24,24,43,0
37,45.0,Virginia,Family,Yearly,4,Apple Pay,Medium,-2072,41.69664911,36.42861831,0.987802044,122,60,6,171,9,19,38,0
38,,Washington,Premium,Monthly,4,Paypal,High,-986,45.18874231,82.30704709,0.403793779,435,113,47,163,77,37,5,1
39,20.0,Vermont,Family,Monthly,1,Apple Pay,Medium,-2242,25.15823088,82.8891746,0.836264935,79,203,6,150,20,26,20,0
40,27.0,Maine,Family,Yearly,4,Apple Pay,Low,-1605,,89.96797935,0.810326654,117,154,25,170,17,2,11,0
41,60.0,Washington,Free,Yearly,0,Paypal,Medium,-804,21.30322719,110.9649041,0.409989493,335,138,6,33,66,33,49,1
42,,Wisconsin,Student,Monthly,4,Debit Card,High,-1935,47.40177758,46.79124937,0.090811635,160,61,9,71,6,48,42,0
43,79.0,Wisconsin,Premium,Monthly,0,Paypal,Medium,-1475,16.47507459,106.6766608,0.992945494,137,76,36,77,15,2,8,1
44,76.0,New Jersey,Family,Yearly,2,Credit Card,Low,-2420,23.47136687,74.22762307,0.862977078,369,115,11,35,6,3,24,0
45,,Virginia,Free,Monthly,0,Paypal,High,-1647,28.97421894,50.56474615,0.593093635,328,96,31,138,68,42,15,1
46,67.0,,Free,Monthly,0,Apple Pay,High,-2916,0.149330863,72.40704732,0.177657832,28,210,37,60,93,26,2,1
47,66.0,Alabama,Premium,Monthly,2,Credit Card,Low,-344,20.13054521,73.66605099,0.964591448,61,82,48,58,99,14,25,0
48,47.0,Montana,Family,Yearly,2,Credit Card,Medium,-2052,47.89484168,95.89983661,0.624696221,426,147,14,67,88,4,42,0
49,57.0,Florida,Family,Yearly,1,Debit Card,High,-2008,34.59132669,101.1025078,0.401103619,457,11,14,178,16,46,13,0
50,55.0,West Virginia,Student,Monthly,1,Apple Pay,High,-2806,28.95348212,45.42512415,0.080513847,152,83,35,184,1,46,33,0
51,36.0,North Dakota,Premium,Monthly,2,Paypal,Medium,-477,31.24455374,81.6952756,0.219859511,255,19,0,47,15,21,44,0
52,73.0,Wisconsin,Family,Yearly,0,Debit Card,Low,-1385,,63.73311905,0.003488253,302,199,3,16,63,10,0,0
